treeid,qlegalstatus,qspecies,qaddress,siteorder,qsiteinfo,qcaretaker,plantdate,age,dbh,plotsize,latitude,longitude,location_2,location
94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4,Sidewalk: Curb side : Cutout,Private,2010,13,13,,37.79098842,-122.4508487,POINT(-122.4508487 37.79098842),POINT(-122.4508487 37.79098842)
110156,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1041 Broadway,2,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.79683937,-122.4142918,POINT(-122.4142918 37.79683937),POINT(-122.4142918 37.79683937)
261067,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,1832 Egbert Ave,1,Sidewalk: Curb side : Cutout,Private,2020,3,3,4x6,37.72754197,-122.4009645,POINT(-122.4009645 37.72754197),POINT(-122.4009645 37.72754197)
54734,Permitted Site,Olea europaea :: Olive Tree,1237 02nd Ave,1,Sidewalk: Curb side : Cutout,Private,1972,51,16,3x3,37.76552329,-122.4589859,POINT(-122.4589859 37.76552329),POINT(-122.4589859 37.76552329)
100357,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,566 Fell St,2,Sidewalk: Curb side : Cutout,Private,2012,11,1,,37.7754915,-122.427243,POINT(-122.427243 37.7754915),POINT(-122.427243 37.7754915)
254662,Permitted Site,Podocarpus gracilor :: Fern Pine,2378 22nd Ave,,Sidewalk: Curb side : Cutout,Private,2018,5,3,3x3,37.7433258,-122.4788647,POINT(-122.4788647 37.7433258),POINT(-122.4788647 37.7433258)
232231,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,111 Germania St,2,Sidewalk: Curb side : Cutout,Private,1996,27,7,Width 3ft,37.7706049,-122.4307489,POINT(-122.4307489 37.7706049),POINT(-122.4307489 37.7706049)
52357,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,625 Hyde St,2,Sidewalk: Curb side : Cutout,Private,2005,18,5,3x3,37.78666399,-122.416615,POINT(-122.416615 37.78666399),POINT(-122.416615 37.78666399)
60784,DPW Maintained,Prunus cerasifera :: Cherry Plum,114 Ewing Ter,1,Sidewalk: Curb side : Cutout,Private,1983,40,3,,37.78030327,-122.4481586,POINT(-122.4481586 37.78030327),POINT(-122.4481586 37.78030327)
173622,DPW Maintained,Pinus radiata :: Monterey Pine,1200X JUNIPERO SERRA BLVD,40,Sidewalk: Property side : Yard,Private,2017,6,3,,37.7170922,-122.4726616,POINT(-122.4726616 37.7170922),POINT(-122.4726616 37.7170922)
45078,DPW Maintained,Prunus cerasifera :: Cherry Plum,2011 29th Ave,1,Sidewalk: Curb side : Cutout,Private,2001,22,2,,37.74976354,-122.4869732,POINT(-122.4869732 37.74976354),POINT(-122.4869732 37.74976354)
31400,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',25 Mallorca Way,1,Sidewalk: Curb side : Cutout,Private,1995,28,13,,37.80115194,-122.4374616,POINT(-122.4374616 37.80115194),POINT(-122.4374616 37.80115194)
52579,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2919At Union Fillmore St,1,Sidewalk: Curb side : Cutout,Private,2006,17,8,,37.7964572,-122.4354527,POINT(-122.4354527 37.7964572),POINT(-122.4354527 37.7964572)
53881,DPW Maintained,Pittosporum undulatum :: Victorian Box,2715 Sutter St,1,Sidewalk: Curb side : Cutout,Private,1972,51,21,,37.78450958,-122.4451527,POINT(-122.4451527 37.78450958),POINT(-122.4451527 37.78450958)
108842,Permitted Site,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,420 Woolsey St,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,,37.72445354,-122.4058117,POINT(-122.4058117 37.72445354),POINT(-122.4058117 37.72445354)
92245,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1238 33rd Ave,1,Sidewalk: Curb side : Cutout,Private,2009,14,3,3x3,37.76400959,-122.492122,POINT(-122.492122 37.76400959),POINT(-122.492122 37.76400959)
205193,Permitted Site,Pittosporum undulatum :: Victorian Box,1516 11th Ave,1,Sidewalk: Curb side : Cutout,Private,1986,37,11,Width 4ft,37.75989067,-122.4680907,POINT(-122.4680907 37.75989067),POINT(-122.4680907 37.75989067)
47802,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,50 Escondido Ave,1,Sidewalk: Curb side : Cutout,Private,2002,21,8,,37.73479722,-122.4899546,POINT(-122.4899546 37.73479722),POINT(-122.4899546 37.73479722)
109113,Permitted Site,Podocarpus macrophyllus :: Yew Pine,3301x 19TH ST,2,Sidewalk: Curb side : Cutout,Private,2016,7,3,3x3,37.76021162,-122.4172113,POINT(-122.4172113 37.76021162),POINT(-122.4172113 37.76021162)
26699,DPW Maintained,Lophostemon confertus :: Brisbane Box,2642 03rd St,1,Sidewalk: Curb side : Cutout,Private,1998,25,6,3x3,37.75624668,-122.3882294,POINT(-122.3882294 37.75624668),POINT(-122.3882294 37.75624668)
36888,DPW Maintained,Lophostemon confertus :: Brisbane Box,3193 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,1998,25,10,,37.79167549,-122.4473498,POINT(-122.4473498 37.79167549),POINT(-122.4473498 37.79167549)
52433,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1807 Octavia St,1,Sidewalk: Curb side : Cutout,Private,2005,18,5,,37.78915892,-122.427222,POINT(-122.427222 37.78915892),POINT(-122.427222 37.78915892)
42245,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',547 Natoma St,1,Sidewalk: Curb side : Cutout,Private,2000,23,3,,37.77922277,-122.4088526,POINT(-122.4088526 37.77922277),POINT(-122.4088526 37.77922277)
52054,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,199 Leland Ave,1,Sidewalk: Curb side : Cutout,Private,2005,18,3,,37.71247523,-122.4072792,POINT(-122.4072792 37.71247523),POINT(-122.4072792 37.71247523)
46561,Permitted Site,Maytenus boaria :: Mayten,550 South Van Ness Ave,3,Sidewalk: Curb side : Cutout,Private,2002,21,11,,37.76435649,-122.4174977,POINT(-122.4174977 37.76435649),POINT(-122.4174977 37.76435649)
92438,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2290 44th Ave,1,Sidewalk: Curb side : Cutout,Private,2009,14,2,3x3,37.74392407,-122.5025493,POINT(-122.5025493 37.74392407),POINT(-122.5025493 37.74392407)
34964,DPW Maintained,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,900 Pennsylvania Ave,2,Sidewalk: Curb side : Cutout,Private,2019,4,3,,37.75483959,-122.3929765,POINT(-122.3929765 37.75483959),POINT(-122.3929765 37.75483959)
41588,DPW Maintained,Pittosporum undulatum :: Victorian Box,230 Ritch St,1,Sidewalk: Curb side : Cutout,Private,2000,23,2,,37.78046486,-122.3959164,POINT(-122.3959164 37.78046486),POINT(-122.3959164 37.78046486)
30866,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',8 Tioga Ave,1,Sidewalk: Curb side : Cutout,Private,1995,28,13,,37.71570284,-122.4027874,POINT(-122.4027874 37.71570284),POINT(-122.4027874 37.71570284)
68963,DPW Maintained,Pittosporum undulatum :: Victorian Box,4620 Fulton St,1,Sidewalk: Curb side : Cutout,Private,1993,30,6,,37.77277811,-122.4814056,POINT(-122.4814056 37.77277811),POINT(-122.4814056 37.77277811)
6893,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,290X Fell St,4,Sidewalk: Curb side : Cutout,Private,1998,25,3,3X3,37.77604001,-122.4226258,POINT(-122.4226258 37.77604001),POINT(-122.4226258 37.77604001)
39577,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,450 Rhode Island St,1,Sidewalk: Curb side : Cutout,Private,2009,14,5,3x3,37.76462742,-122.402647,POINT(-122.402647 37.76462742),POINT(-122.402647 37.76462742)
34511,DPW Maintained,Lophostemon confertus :: Brisbane Box,18 Lansing St,2,Sidewalk: Curb side : Cutout,Private,1997,26,2,,37.78619932,-122.393859,POINT(-122.393859 37.78619932),POINT(-122.393859 37.78619932)
112368,Section 143,Prunus cerasifera :: Cherry Plum,550 Jessie St,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.78100166,-122.4101207,POINT(-122.4101207 37.78100166),POINT(-122.4101207 37.78100166)
106870,Significant Tree,Pittosporum undulatum :: Victorian Box,38 08th St,1,Front Yard : Cutout,Private,2014,9,2,,37.77808973,-122.4141284,POINT(-122.4141284 37.77808973),POINT(-122.4141284 37.77808973)
39550,DPW Maintained,Jacaranda mimosifolia :: Jacaranda,815 Carolina St,1,Sidewalk: Curb side : Cutout,Private,1998,25,8,,37.75833922,-122.3999085,POINT(-122.3999085 37.75833922),POINT(-122.3999085 37.75833922)
59254,DPW Maintained,Celtis sinensis :: Chinese Hackberry,985 Lombard St,1,Sidewalk: Curb side : Cutout,Private,1980,43,16,,37.80218518,-122.4175795,POINT(-122.4175795 37.80218518),POINT(-122.4175795 37.80218518)
248806,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,1039 Stanyan St,1,Sidewalk: Curb side : Cutout,Private,1979,44,18,Width 4ft,37.76488452,-122.4527337,POINT(-122.4527337 37.76488452),POINT(-122.4527337 37.76488452)
31116,DPW Maintained,Ilex aquifolium :: European Holly,450 Edna St,7,Sidewalk: Curb side : Cutout,Private,1995,28,6,,37.73057691,-122.4464954,POINT(-122.4464954 37.73057691),POINT(-122.4464954 37.73057691)
47485,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,165 Capistrano Ave,1,Sidewalk: Curb side : Cutout,Private,2002,21,7,,37.72821861,-122.4375026,POINT(-122.4375026 37.72821861),POINT(-122.4375026 37.72821861)
51671,DPW Maintained,Prunus cerasifera :: Cherry Plum,470 Clementina St,1,Sidewalk: Curb side : Cutout,Private,2005,18,4,,37.77952402,-122.4054877,POINT(-122.4054877 37.77952402),POINT(-122.4054877 37.77952402)
53052,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2517@ SCOTT Broadway,1,Sidewalk: Curb side : Cutout,Private,2006,17,5,,37.79365827,-122.4392171,POINT(-122.4392171 37.79365827),POINT(-122.4392171 37.79365827)
10338,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,888 Haight St,1,Sidewalk: Curb side : Cutout,Private,2007,16,3,4X4,37.77137054,-122.436739,POINT(-122.436739 37.77137054),POINT(-122.436739 37.77137054)
3854,Permitted Site,Lophostemon confertus :: Brisbane Box,201X Cashmere St,11,Sidewalk: Curb side : Cutout,Private,2000,23,9,3X3,37.73658386,-122.3861908,POINT(-122.3861908 37.73658386),POINT(-122.3861908 37.73658386)
160434,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',401 France Ave,4,Sidewalk: Curb side : Cutout,Private,2017,6,3,Width 0ft,37.71842777,-122.4348838,POINT(-122.4348838 37.71842777),POINT(-122.4348838 37.71842777)
65953,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1965 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,1990,33,11,,37.79419859,-122.4275545,POINT(-122.4275545 37.79419859),POINT(-122.4275545 37.79419859)
26117,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1487 Oakdale Ave,1,Sidewalk: Curb side : Cutout,Private,2003,20,3,3X3,37.73332787,-122.3882647,POINT(-122.3882647 37.73332787),POINT(-122.3882647 37.73332787)
97319,DPW Maintained,Lagunaria patersonii :: Primrose Tree,1038 Taraval St,1,Sidewalk: Curb side : Cutout,Private,2017,6,3,3x3,37.74306751,-122.4774242,POINT(-122.4774242 37.74306751),POINT(-122.4774242 37.74306751)
44200,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,100 Harrison St,1,Sidewalk: Curb side : Cutout,Private,2018,5,3,,37.78878049,-122.3896874,POINT(-122.3896874 37.78878049),POINT(-122.3896874 37.78878049)
26665,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,222 Cortland Ave,1,Sidewalk: Curb side : Cutout,Private,1998,25,8,3X3,37.73935933,-122.4189218,POINT(-122.4189218 37.73935933),POINT(-122.4189218 37.73935933)
52064,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1271 29th Ave,1,Sidewalk: Curb side : Cutout,Private,2005,18,3,,37.763705,-122.4879692,POINT(-122.4879692 37.763705),POINT(-122.4879692 37.763705)
24157,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,110X Whitney Young Cir,7,Sidewalk: Curb side : Cutout,Private,1992,31,12,3x3,37.73625553,-122.3859266,POINT(-122.3859266 37.73625553),POINT(-122.3859266 37.73625553)
28486,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2001 Ocean Ave,4,Sidewalk: Curb side : Cutout,Private,2003,20,3,3x3,37.7260027,-122.4644435,POINT(-122.4644435 37.7260027),POINT(-122.4644435 37.7260027)
46999,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,2011 26th St,2,Sidewalk: Curb side : Cutout,Private,2010,13,5,,37.75094951,-122.3993216,POINT(-122.3993216 37.75094951),POINT(-122.3993216 37.75094951)
144979,DPW Maintained,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,626 17th Ave,1,Sidewalk: Curb side : Cutout,Private,2019,4,3,Width 3ft,37.77612584,-122.4757815,POINT(-122.4757815 37.77612584),POINT(-122.4757815 37.77612584)
67610,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,1095 Tennessee St,1,Sidewalk: Curb side : Cutout,Private,1992,31,9,,37.75812739,-122.3891672,POINT(-122.3891672 37.75812739),POINT(-122.3891672 37.75812739)
108914,Permitted Site,Olea Majestic Beauty ::,14 Joy St,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.74383415,-122.406785,POINT(-122.406785 37.74383415),POINT(-122.406785 37.74383415)
162836,DPW Maintained,Lagunaria patersonii :: Primrose Tree,95 Lee Ave,1,Sidewalk: Curb side : Cutout,Private,2020,3,0,4x6,37.71984665,-122.4541767,POINT(-122.4541767 37.71984665),POINT(-122.4541767 37.71984665)
82955,Undocumented,Crataegus laevigata :: English Hawthorn,660X Clementina St,2,Sidewalk: Curb side : Cutout,Private,2005,18,3,3x3,37.77581058,-122.4101526,POINT(-122.4101526 37.77581058),POINT(-122.4101526 37.77581058)
82202,Permitted Site,Arecastrum romanzoffianum :: Queen Palm,3170-3172 25th St,1,Sidewalk: Curb side : Cutout,Private,2008,15,10,3x3,37.75101124,-122.4133106,POINT(-122.4133106 37.75101124),POINT(-122.4133106 37.75101124)
247475,DPW Maintained,Olea europaea :: Olive Tree,330 Scott St,1,Sidewalk: Curb side : Cutout,Private,1998,25,11,Width 0ft,37.77291677,-122.4355821,POINT(-122.4355821 37.77291677),POINT(-122.4355821 37.77291677)
22017,Permitted Site,Lophostemon confertus :: Brisbane Box,2799 03rd St,6,Sidewalk: Curb side : Cutout,Private,1999,24,3,3X3,37.75411643,-122.3877791,POINT(-122.3877791 37.75411643),POINT(-122.3877791 37.75411643)
28905,Permitted Site,Pittosporum undulatum :: Victorian Box,360X 05th St,2,Sidewalk: Curb side : Cutout,Private,2006,17,7,3X3,37.77958336,-122.4026556,POINT(-122.4026556 37.77958336),POINT(-122.4026556 37.77958336)
207004,Undocumented,Lagunaria patersonii :: Primrose Tree,171 Wawona St,2,Sidewalk: Curb side : Cutout,Private,2014,9,1,Width 3ft,37.7403967,-122.4674683,POINT(-122.4674683 37.7403967),POINT(-122.4674683 37.7403967)
146932,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,619 43rd Ave,1,Sidewalk: Curb side : Cutout,Private,2020,3,0,Width 3ft,37.77691039,-122.5039316,POINT(-122.5039316 37.77691039),POINT(-122.5039316 37.77691039)
109327,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,1868 Greenwich St,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,,37.7997141,-122.4304049,POINT(-122.4304049 37.7997141),POINT(-122.4304049 37.7997141)
38890,DPW Maintained,Pittosporum undulatum :: Victorian Box,633 Palm Ave,2,Sidewalk: Curb side : Cutout,Private,1998,25,7,,37.78449769,-122.4580563,POINT(-122.4580563 37.78449769),POINT(-122.4580563 37.78449769)
67653,DPW Maintained,Prunus cerasifera :: Cherry Plum,27 Pomona St,1,Sidewalk: Curb side : Cutout,Private,1992,31,7,,37.73195932,-122.3933303,POINT(-122.3933303 37.73195932),POINT(-122.3933303 37.73195932)
182345,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1522 26th Ave,1,Sidewalk: Curb side : Cutout,Private,2021,2,3,3x8,37.7590237,-122.4841723,POINT(-122.4841723 37.7590237),POINT(-122.4841723 37.7590237)
61668,Permitted Site,Prunus cerasifera :: Cherry Plum,271 Church St,1,Sidewalk: Curb side : Cutout,Private,1984,39,10,,37.76654569,-122.4287681,POINT(-122.4287681 37.76654569),POINT(-122.4287681 37.76654569)
55625,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2131 Jackson St,1,Sidewalk: Curb side : Cutout,Private,1973,50,3,,37.7929485,-122.4301787,POINT(-122.4301787 37.7929485),POINT(-122.4301787 37.7929485)
81375,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1587 23rd Ave,1,Sidewalk: Curb side : Cutout,Private,2009,14,2,3x3,37.75803054,-122.4811068,POINT(-122.4811068 37.75803054),POINT(-122.4811068 37.75803054)
56340,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,393 26th Ave,1,Sidewalk: Curb side : Cutout,Private,1973,50,11,,37.78210611,-122.4860404,POINT(-122.4860404 37.78210611),POINT(-122.4860404 37.78210611)
160608,DPW Maintained,Podocarpus gracilor :: Fern Pine,750X France Ave,1,Sidewalk: Curb side : Cutout,Private,2017,6,3,Width 0ft,37.71711977,-122.4323769,POINT(-122.4323769 37.71711977),POINT(-122.4323769 37.71711977)
183515,DPW Maintained,Myoporum laetum :: Myoporum,2562 26th Ave,1,Sidewalk: Curb side : Yard,Private,2017,6,3,Width 0ft,37.73970633,-122.4828998,POINT(-122.4828998 37.73970633),POINT(-122.4828998 37.73970633)
15716,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,4357X Mission St,8,Sidewalk: Curb side : Cutout,Private,1995,28,6,3x3,37.72759546,-122.4323786,POINT(-122.4323786 37.72759546),POINT(-122.4323786 37.72759546)
50649,DPW Maintained,Tristania conferta ::,821 Folsom St,3,Sidewalk: Curb side : Cutout,Private,2008,15,3,3x3,37.78158434,-122.4015624,POINT(-122.4015624 37.78158434),POINT(-122.4015624 37.78158434)
61650,DPW Maintained,Pittosporum undulatum :: Victorian Box,245 08th Ave,1,Sidewalk: Curb side : Cutout,Private,1984,39,11,,37.78385466,-122.4667129,POINT(-122.4667129 37.78385466),POINT(-122.4667129 37.78385466)
31216,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2302 Steiner St,4,Sidewalk: Curb side : Cutout,Private,1995,28,8,,37.79079455,-122.4358334,POINT(-122.4358334 37.79079455),POINT(-122.4358334 37.79079455)
58126,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1304 Montgomery St,1,Sidewalk: Curb side : Cutout,Private,1978,45,18,,37.80120839,-122.404372,POINT(-122.404372 37.80120839),POINT(-122.404372 37.80120839)
31370,Permitted Site,Photinia fraseri :: Photinia Tree,300 Taraval St,3,Sidewalk: Curb side : Cutout,Private,1995,28,4,3x3,37.74340596,-122.4692021,POINT(-122.4692021 37.74340596),POINT(-122.4692021 37.74340596)
93873,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1155 Battery St,1,Sidewalk: Curb side : Cutout,Private,2010,13,12,3x3,37.80211256,-122.4018501,POINT(-122.4018501 37.80211256),POINT(-122.4018501 37.80211256)
49946,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2865 34th Ave,1,Sidewalk: Curb side : Cutout,Private,2003,20,5,3x9,37.73450145,-122.4913269,POINT(-122.4913269 37.73450145),POINT(-122.4913269 37.73450145)
51468,Permitted Site,Afrocarpus gracilior :: Fern Pine,450X Tompkins Ave,1,Sidewalk: Curb side : Cutout,Private,2004,19,10,3x3,37.73703971,-122.4135705,POINT(-122.4135705 37.73703971),POINT(-122.4135705 37.73703971)
84889,Permitted Site,Acer rubrum :: Red Maple,1699X Valencia St,3,Sidewalk: Curb side : Cutout,Private,2007,16,3,3x3,37.74590571,-122.4197376,POINT(-122.4197376 37.74590571),POINT(-122.4197376 37.74590571)
55464,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,817 Grove St,1,Sidewalk: Curb side : Cutout,Private,1972,51,14,,37.77682008,-122.4304979,POINT(-122.4304979 37.77682008),POINT(-122.4304979 37.77682008)
192157,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1404 Mission St,5,Sidewalk: Curb side : Cutout,Private,2018,5,3,Width 3ft,37.7745937,-122.4169216,POINT(-122.4169216 37.7745937),POINT(-122.4169216 37.7745937)
31005,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,45 Curtis St,1,Sidewalk: Curb side : Cutout,Private,1995,28,5,,37.71412308,-122.4398302,POINT(-122.4398302 37.71412308),POINT(-122.4398302 37.71412308)
91571,DPW Maintained,Prunus serrulata :: Ornamental Cherry,511 Campbell Ave,1,Sidewalk: Curb side : Cutout,Private,2009,14,3,3x3,37.71527729,-122.4064887,POINT(-122.4064887 37.71527729),POINT(-122.4064887 37.71527729)
17169,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,1221X Oakdale Ave,1,Sidewalk: Curb side : Cutout,Private,2007,16,3,3x3,37.73055642,-122.3832744,POINT(-122.3832744 37.73055642),POINT(-122.3832744 37.73055642)
43659,DPW Maintained,Olea europaea :: Olive Tree,605 10th Ave,2,Sidewalk: Curb side : Cutout,Private,2000,23,8,,37.77684169,-122.468361,POINT(-122.468361 37.77684169),POINT(-122.468361 37.77684169)
253067,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,420 Innes Ave,2,Sidewalk: Curb side : Cutout,Private,2017,6,3,,37.72803797,-122.3686509,POINT(-122.3686509 37.72803797),POINT(-122.3686509 37.72803797)
45062,DPW Maintained,Pittosporum undulatum :: Victorian Box,2354 26th Ave,2,Sidewalk: Curb side : Cutout,Private,2001,22,5,,37.74357215,-122.4831725,POINT(-122.4831725 37.74357215),POINT(-122.4831725 37.74357215)
252966,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,111 Whipple Ave,1,Sidewalk: Curb side : Cutout,Private,2017,6,3,,37.71129838,-122.4482595,POINT(-122.4482595 37.71129838),POINT(-122.4482595 37.71129838)
30870,DPW Maintained,Prunus cerasifera :: Cherry Plum,1922 Pierce St,1,Sidewalk: Curb side : Cutout,Private,2013,10,22,3x3,37.78797114,-122.4369327,POINT(-122.4369327 37.78797114),POINT(-122.4369327 37.78797114)
21847,DPW Maintained,Magnolia doltsopa :: Himalayan Magnolia,202X Cabrillo St,2,Sidewalk: Curb side : Cutout,Private,2000,23,3,3X3,37.77558528,-122.4609055,POINT(-122.4609055 37.77558528),POINT(-122.4609055 37.77558528)
34478,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,755 Union St,1,Sidewalk: Curb side : Cutout,Private,1997,26,16,,37.80004411,-122.4118141,POINT(-122.4118141 37.80004411),POINT(-122.4118141 37.80004411)
64157,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',744 Funston Ave,1,Sidewalk: Curb side : Cutout,Private,1987,36,1,,37.77414086,-122.471231,POINT(-122.471231 37.77414086),POINT(-122.471231 37.77414086)
35019,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',27 Alhambra St,1,Sidewalk: Curb side : Cutout,Private,1997,26,10,,37.80273353,-122.4376947,POINT(-122.4376947 37.80273353),POINT(-122.4376947 37.80273353)
41530,Permitted Site,Lophostemon confertus :: Brisbane Box,75 Townsend St,4,Sidewalk: Curb side : Cutout,Private,2000,23,6,3x3,37.78097417,-122.3899074,POINT(-122.3899074 37.78097417),POINT(-122.3899074 37.78097417)
50887,Permitted Site,Arbutus unedo :: Strawberry Tree,2155 16th Ave,1,Sidewalk: Curb side : Cutout,Private,2004,19,2,4x5,37.74776066,-122.4728911,POINT(-122.4728911 37.74776066),POINT(-122.4728911 37.74776066)
234988,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,4207 26th St,1,Sidewalk: Curb side : Cutout,Private,2020,3,3,Width 2ft,37.74801876,-122.4340689,POINT(-122.4340689 37.74801876),POINT(-122.4340689 37.74801876)
55331,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,245 Harkness Ave,1,Sidewalk: Curb side : Cutout,Private,1972,51,12,,37.71726685,-122.402306,POINT(-122.402306 37.71726685),POINT(-122.402306 37.71726685)
39828,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,3650X Rivera St,2,Sidewalk: Curb side : Cutout,Private,1999,24,7,3x3,37.74558793,-122.5058772,POINT(-122.5058772 37.74558793),POINT(-122.5058772 37.74558793)
25925,Permitted Site,Melaleuca quinquenervia :: Cajeput,1900 Oakdale Ave,6,Sidewalk: Curb side : Cutout,Private,1997,26,12,3x3,37.73809441,-122.396235,POINT(-122.396235 37.73809441),POINT(-122.396235 37.73809441)
47864,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,60Street Rausch St,2,Sidewalk: Curb side : Cutout,Private,2003,20,10,,37.77632836,-122.4096118,POINT(-122.4096118 37.77632836),POINT(-122.4096118 37.77632836)
50981,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',199  REVISED Richardson Ave,2,Sidewalk: Curb side : Cutout,Private,2004,19,15,3x3,37.80021524,-122.4471231,POINT(-122.4471231 37.80021524),POINT(-122.4471231 37.80021524)
60799,DPW Maintained,Prunus cerasifera :: Cherry Plum,275 Ewing Ter,1,Sidewalk: Curb side : Cutout,Private,1983,40,5,,37.77983262,-122.4488171,POINT(-122.4488171 37.77983262),POINT(-122.4488171 37.77983262)
61872,Permitted Site,Liquidambar styraciflua :: American Sweet Gum,3470 21st St,1,Sidewalk: Curb side : Cutout,Private,1991,32,5,3x3,37.75674645,-122.4248905,POINT(-122.4248905 37.75674645),POINT(-122.4248905 37.75674645)
25582,DPW Maintained,Pyrus calleryana :: Ornamental Pear,1050 Cortland Ave,1,Sidewalk: Curb side : Cutout,Private,2005,18,6,3X3,37.73907659,-122.4129208,POINT(-122.4129208 37.73907659),POINT(-122.4129208 37.73907659)
108108,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,901x YORK ST,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.757436,-122.4084865,POINT(-122.4084865 37.757436),POINT(-122.4084865 37.757436)
22893,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,177 Valencia St,1,Sidewalk: Curb side : Cutout,Private,2011,12,3,3x3,37.77021178,-122.4222807,POINT(-122.4222807 37.77021178),POINT(-122.4222807 37.77021178)
61491,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,178 20th Ave,1,Sidewalk: Curb side : Cutout,Private,1990,33,3,,37.78451492,-122.4796037,POINT(-122.4796037 37.78451492),POINT(-122.4796037 37.78451492)
32433,DPW Maintained,Lophostemon confertus :: Brisbane Box,370 Lexington St,1,Sidewalk: Curb side : Cutout,Private,1996,27,16,,37.75739026,-122.4204372,POINT(-122.4204372 37.75739026),POINT(-122.4204372 37.75739026)
