treeid,qlegalstatus,qspecies,qaddress,siteorder,qsiteinfo,qcaretaker,plantdate,age,dbh,plotsize,latitude,longitude,location_2,location
28981,DPW Maintained,Lophostemon confertus :: Brisbane Box,342 09th St,2,Sidewalk: Curb side : Cutout,Private,2006,17,3,3x3,37.77326254,-122.4111683,POINT(-122.4111683 37.77326254),POINT(-122.4111683 37.77326254)
61566,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1111 Wisconsin St,1,Sidewalk: Curb side : Cutout,Private,1984,39,13,,37.75327706,-122.3984507,POINT(-122.3984507 37.75327706),POINT(-122.3984507 37.75327706)
265838,Section 806 (d),Arbutus 'Marina' :: Hybrid Strawberry Tree,70 Terra Vista Ave,3,Sidewalk: Curb side : Cutout,Private,2021,2,3,3x3,37.78155697,-122.442941,POINT(-122.442941 37.78155697),POINT(-122.442941 37.78155697)
65863,DPW Maintained,Pittosporum undulatum :: Victorian Box,3738 Scott St,1,Sidewalk: Curb side : Cutout,Private,1990,33,2,,37.80432987,-122.4419452,POINT(-122.4419452 37.80432987),POINT(-122.4419452 37.80432987)
32294,DPW Maintained,Ficus retusa nitida :: Banyan Fig,1616 16th St,2,Sidewalk: Curb side : Cutout,Private,1996,27,12,,37.76614147,-122.4030153,POINT(-122.4030153 37.76614147),POINT(-122.4030153 37.76614147)
31034,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,300 Bennington St,2,Sidewalk: Curb side : Cutout,Private,1995,28,1,,37.73764567,-122.41809,POINT(-122.41809 37.73764567),POINT(-122.41809 37.73764567)
202611,DPW Maintained,Lophostemon confertus :: Brisbane Box,913 Bryant St,3,Sidewalk: Curb side : Cutout,Private,2019,4,3,Width 3ft,37.77410704,-122.4048062,POINT(-122.4048062 37.77410704),POINT(-122.4048062 37.77410704)
46765,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,46 Admiral Ave,1,Sidewalk: Curb side : Cutout,Private,2002,21,14,,37.73040399,-122.4308078,POINT(-122.4308078 37.73040399),POINT(-122.4308078 37.73040399)
85795,DPW Maintained,Ulmus parvifolia :: Chinese Elm,985 Folsom St,1,Sidewalk: Curb side : Cutout,Private,2007,16,12,3x3,37.77880129,-122.4050868,POINT(-122.4050868 37.77880129),POINT(-122.4050868 37.77880129)
37377,Permitted Site,Shrub :: Shrub,755 Morse St,11,Sidewalk: Property side : Cutout,Private,1998,25,2,3x3,37.71055643,-122.4473251,POINT(-122.4473251 37.71055643),POINT(-122.4473251 37.71055643)
30477,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2424 Green St,2,Sidewalk: Curb side : Cutout,Private,1956,67,12,,37.79573365,-122.4391341,POINT(-122.4391341 37.79573365),POINT(-122.4391341 37.79573365)
96682,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,375@32nd Ave 32nd Ave,4,Sidewalk: Property side : Cutout,Private,2011,12,5,,37.78227422,-122.4925369,POINT(-122.4925369 37.78227422),POINT(-122.4925369 37.78227422)
29740,Permitted Site,Lophostemon confertus :: Brisbane Box,629 Union St,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.80018891,-122.4096932,POINT(-122.4096932 37.80018891),POINT(-122.4096932 37.80018891)
49842,DPW Maintained,Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',114@ PIOCHE Oxford St,1,Sidewalk: Curb side : Cutout,Private,2003,20,4,,37.72825444,-122.4203373,POINT(-122.4203373 37.72825444),POINT(-122.4203373 37.72825444)
94230,Permitted Site,Pinus canariensis :: Canary Island Pine,1501@Everglade Sloat Blvd,9,Sidewalk: Property side : Yard,Private,2010,13,12,,37.73367082,-122.4897271,POINT(-122.4897271 37.73367082),POINT(-122.4897271 37.73367082)
22650,DPW Maintained,Melaleuca linariifolia :: Flaxleaf Paperbark,1251 Turk St,4,Sidewalk: Curb side : Cutout,Private,2014,9,30,5x6,37.78070821,-122.4299047,POINT(-122.4299047 37.78070821),POINT(-122.4299047 37.78070821)
31433,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,4301 21st St,2,Sidewalk: Curb side : Cutout,Private,1995,28,5,,37.75531288,-122.4392746,POINT(-122.4392746 37.75531288),POINT(-122.4392746 37.75531288)
34822,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,420 42nd Ave,1,Sidewalk: Curb side : Cutout,Private,1998,25,4,,37.78075281,-122.5029792,POINT(-122.5029792 37.78075281),POINT(-122.5029792 37.78075281)
101867,DPW Maintained,Schinus terebinthifolius :: Brazilian Pepper,737 Folsom St,4,Sidewalk: Curb side : Cutout,Private,2012,11,4,3x3,37.78281241,-122.3999043,POINT(-122.3999043 37.78281241),POINT(-122.3999043 37.78281241)
265836,Section 806 (d),Arbutus 'Marina' :: Hybrid Strawberry Tree,70 Terra Vista Ave,1,Sidewalk: Curb side : Cutout,Private,2021,2,3,3x3,37.78155697,-122.442941,POINT(-122.442941 37.78155697),POINT(-122.442941 37.78155697)
32943,DPW Maintained,Jacaranda mimosifolia :: Jacaranda,999X Minnesota St,2,Sidewalk: Curb side : Cutout,Private,1996,27,8,3x3,37.75815084,-122.3901451,POINT(-122.3901451 37.75815084),POINT(-122.3901451 37.75815084)
129659,DPW Maintained,Ligustrum lucidum :: Glossy Privet,2211 Stockton St,7,Sidewalk: Curb side : Cutout,Private,2021,2,3,Width 3ft,37.80635657,-122.4104589,POINT(-122.4104589 37.80635657),POINT(-122.4104589 37.80635657)
32025,Permitted Site,Pyrus kawakamii :: Evergreen Pear,2431 Fillmore St,1,Sidewalk: Curb side : Cutout,Private,1995,28,7,4x4,37.79185999,-122.4345257,POINT(-122.4345257 37.79185999),POINT(-122.4345257 37.79185999)
264809,Private,Magnolia grandiflora :: Southern Magnolia,1165 Francisco St,2,Sidewalk: Curb side : Cutout,Private,2021,2,3,Width 3ft,37.80323261,-122.4243006,POINT(-122.4243006 37.80323261),POINT(-122.4243006 37.80323261)
26592,Permitted Site,Ulmus 'Prospector' :: Prospector Elm,1641 Bay Shore Blvd,1,Sidewalk: Curb side : Cutout,Private,1998,25,6,3X3,37.72312451,-122.4004701,POINT(-122.4004701 37.72312451),POINT(-122.4004701 37.72312451)
29772,DPW Maintained,Lophostemon confertus :: Brisbane Box,1329 Columbus Ave,1,Sidewalk: Curb side : Cutout,Private,2006,17,8,3x3,37.80648046,-122.419272,POINT(-122.419272 37.80648046),POINT(-122.419272 37.80648046)
31413,DPW Maintained,Prunus cerasifera :: Cherry Plum,4015 21st St,1,Sidewalk: Curb side : Cutout,Private,1995,28,4,,37.75594611,-122.436139,POINT(-122.436139 37.75594611),POINT(-122.436139 37.75594611)
62037,DPW Maintained,Ficus microcarpa :: Chinese Banyan,395 Geary St,1,Sidewalk: Curb side : Cutout,Private,1985,38,14,3x3,37.78709946,-122.4097007,POINT(-122.4097007 37.78709946),POINT(-122.4097007 37.78709946)
34633,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1558 25th Ave,1,Sidewalk: Curb side : Cutout,Private,1997,26,5,,37.7584379,-122.4831444,POINT(-122.4831444 37.7584379),POINT(-122.4831444 37.7584379)
44434,DPW Maintained,Pittosporum crassifolium :: Karo Tree,859 Prague St,5,Sidewalk: Curb side : Cutout,Private,2001,22,3,,37.71037507,-122.4343643,POINT(-122.4343643 37.71037507),POINT(-122.4343643 37.71037507)
54479,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,108 Topeka Ave,1,Sidewalk: Curb side : Cutout,Private,1972,51,9,,37.73381973,-122.3991817,POINT(-122.3991817 37.73381973),POINT(-122.3991817 37.73381973)
