qspecies,qcaretaker,count1
Brisbane Box,Private,397
Swamp Myrtle,Private,466
Hybrid Strawberry Tree,Private,270
Southern Magnolia,Private,315
Victorian Box,Private,294
New Zealand Xmas Tree,Private,287
Sycamore: London Plane,Private,198
Cherry Plum,Private,278
Kwanzan Flowering Cherry,Private,178
Olive Tree,Private,155
